budget,id,popularity,revenue,runtime,vote_average,vote_count
125000000,58574,81.499621,334615000,129.0,7.0,3886
125000000,18823,47.686442,232713139,106.0,5.6,2233
65000000,861,43.129703,261317921,113.0,7.1,1710
160000000,1911,27.220157,61698899,102.0,6.4,510
130000000,49040,90.33681,276572938,120.0,6.0,2651
125000000,415,50.073575,238207122,125.0,4.2,1418
123000000,8871,45.419668,345141403,104.0,6.2,1386
125000000,435,41.380094,544272402,124.0,6.2,2392
125000000,955,54.931334,546388105,123.0,5.9,1928
120000000,2133,25.752118,325756637,130.0,6.2,597
130000000,1979,60.810723,289047763,92.0,5.4,2589
120000000,87827,51.328145,609016565,127.0,7.2,5797
110000000,1250,46.834704,228738393,114.0,5.2,1712
120000000,324668,62.641286,415484914,123.0,5.9,2341
120000000,9471,33.616115,259175788,106.0,5.2,914
130000000,70981,68.889395,403170142,124.0,6.3,5080
120000000,10996,27.990284,169956806,78.0,5.4,613
115000000,68724,67.33767,286140700,109.0,6.4,3439
105000000,2789,27.835436,115772733,119.0,6.3,1570
120000000,97020,66.757869,242688965,102.0,5.7,2342
120000000,7459,17.060695,93945766,135.0,5.7,354
120000000,42888,11.137655,48668907,121.0,4.9,223
117000000,37834,44.906918,261930431,109.0,5.9,1547
120000000,75612,67.698004,286168572,124.0,6.4,4800
113000000,1895,44.108427,850000000,140.0,7.1,4116
120000000,1894,43.987061,649398328,142.0,6.4,3992
115000000,585,106.815545,562816256,92.0,7.5,5996
120000000,76170,15.953444,415440673,126.0,6.3,4053
115000000,1893,54.035265,924317558,136.0,6.3,4432
135000000,49519,64.183321,585178928,98.0,6.8,2399
97250400,2395,20.344364,132900000,116.0,5.0,471
115000000,12100,18.714197,77628265,134.0,5.8,341
115000000,290595,60.467984,164602163,114.0,6.0,1523
125000000,98566,143.350376,477200000,101.0,5.8,2636
105000000,49047,110.153618,716392705,91.0,7.3,5751
116000000,9619,16.90444,178127760,108.0,5.7,428
135000000,308531,39.873791,245623848,112.0,5.8,963
120000000,166424,38.126095,167977596,100.0,4.4,2278
110000000,1593,48.780039,574480841,108.0,6.3,2862
110000000,254128,100.412364,470490832,114.0,6.0,2968
110000000,714,42.887121,333011068,119.0,6.0,925
110000000,2024,23.657284,215294342,165.0,6.8,1099
110000000,163,76.840712,362744280,125.0,6.4,2124
110000000,787,44.635452,478207520,120.0,6.5,2965
110000000,262500,103.718387,295238201,119.0,6.2,3829
116000000,2567,45.616098,102000000,170.0,7.0,1489
112000000,38745,22.845143,237382724,85.0,4.9,621
120000000,40805,31.703608,227817248,119.0,5.5,1251
110000000,53182,71.510596,337580051,102.0,6.1,2397
110000000,41513,36.65422,563749323,103.0,5.5,1179
110000000,13700,19.625972,103951461,76.0,5.7,389
110000000,262504,86.105615,179246868,121.0,5.9,1998
110000000,39254,37.195046,299268508,127.0,6.6,2692
105000000,77931,32.473628,347434178,105.0,5.5,695
160000000,1639,23.336875,164508066,121.0,4.1,434
110000000,80274,45.94834,125537191,114.0,6.6,2303
110000000,1571,48.93337,383531464,128.0,6.4,2089
93000000,120,138.049577,871368364,178.0,8.0,8705
110000000,10204,22.643776,72178895,120.0,5.7,672
107000000,8489,18.866672,87713825,157.0,6.7,447
